Key,English,Vietnamese,Context,Screen,Category
app_name,Nông Trí,Nông Trí,"App name - brand identity, never translated",All,Brand
app_tagline,AI Farming Assistant,Trợ lý AI nông nghiệp,"Short tagline shown on language selection screen. Keep concise (max 25 chars).",Language Selection,Brand
ai_assistant_name,Nông Trí AI,Nông Trí AI,"Name used to identify AI in chat bubbles. Consistent branding.",Chat,Brand
select_language,Select Language,Chọn ngôn ngữ,"Header for language selection screen. Clear call to action.",Language Selection,Headers
select_language_bilingual,Select Language / Chọn ngôn ngữ,Select Language / Chọn ngôn ngữ,"Bilingual prompt shown on language selection. Helps users who don't know current language.",Language Selection,Headers
choose_your_language,Choose your preferred language,Chọn ngôn ngữ ưa thích của bạn,"Instructional text explaining language selection. Friendly tone.",Language Selection,Instructions
continue,Continue,Tiếp tục,"Button to proceed after language selection. Action verb, keep short.",Language Selection,Buttons
chat_title,Nông Trí,Nông Trí,"Title shown in chat screen top bar. Brand name.",Chat,Headers
menu_conversations,Conversations,Cuộc trò chuyện,"Menu item to view conversation list. Noun, plural.",Chat,Menu Items
menu_new_chat,New Chat,Trò chuyện mới,"Menu item to start new conversation. Action phrase, concise.",Chat,Menu Items
menu_share_location,Share Location,Chia sẻ vị trí,"Menu item to share GPS location. Action phrase.",Chat,Menu Items
menu_language_section,Language,Ngôn ngữ,"Section header in menu for language options. Singular noun.",Chat,Menu Items
menu_theme_section,Theme,Giao diện,"Section header in menu for theme options. Singular noun.",Chat,Menu Items
back,Back,Quay lại,"Navigation action to go back. Short, universal.",All,Navigation
close,Close,Đóng,"Action to close dialog/bottom sheet. Short, clear.",All,Navigation
cancel,Cancel,Hủy,"Action to cancel operation. Short, clear.",All,Navigation
ok,OK,OK,"Confirmation button. Universal abbreviation.",All,Buttons
yes,Yes,Có,"Affirmative response. Short, clear.",All,Buttons
no,No,Không,"Negative response. Short, clear.",All,Buttons
retry,Retry,Thử lại,"Action to try again after error. Action verb.",All,Buttons
delete,Delete,Xóa,"Action to delete item. Destructive action, keep clear.",All,Buttons
send,Send,Gửi,"Action to send message/image. Action verb, short.",All,Buttons
